cardId,sourceQueueId,title,category,domain,learnerLevel,difficulty,sourceLine,apSpecPath,specimenContext,normalComparatorPrompt,visualAnchorPlan,mimicFrame,reportingConsequencePrompt,completionGate,taxonomyQaGateStatus,taxonomyQaGateEvidence,contentAuthoringGateStatus,contentAuthoringGateEvidence,visualAnchorGateStatus,visualAnchorGateEvidence,retrievalKeyGateStatus,retrievalKeyGateEvidence,facultyReviewGateStatus,facultyReviewGateEvidence
"p0-pediatric-card-01-53c3d45f-e918-4719-ba20-8bd2a2df8c33","ap_pediatric-53c3d45f-e918-4719-ba20-8bd2a2df8c33","Amniotic Fluid","Pediatric / Perinatal","Placental and maternal-fetal pathology","PGY1-PGY2","C","15156","Pediatric Pathology Topics for Anatomic Pathology Residents > Perinatal Pathology: Placental-Maternal-Fetal Relationships in Pregnancy > Conception > Amniotic Fluid","placenta, membranes, cord, products of conception, or related maternal-fetal specimen with gestational age and clinical indication available","gestational-age appropriate placenta, membranes, cord, and villous maturation before abnormal pattern recognition","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","normal maturational change, sampling artifact, post-delivery change, molar mimic, maternal vascular malperfusion, fetal vascular malperfusion, or infection","gestational-age correlation, maternal/fetal risk implication, recurrence or genetic follow-up language, and clinically safe placental diagnosis phrasing","Not complete until taxonomy QA, pediatric/perinatal content, visual anchor, retrieval answer key, and faculty QA metadata are all satisfied.","ready-for-review","Generated from Pediatric / Perinatal AP specification path at source line 15156; faculty must confirm entity/process status and whether this belongs in pediatric, placental, perinatal, or genetics teaching.","missing","Needs source-backed definition, age/gestational-age comparator, morphology, mimic discriminator, clinical consequence, and safety pitfall.","missing","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","missing","Retrieval prompts are scaffolded; faculty-reviewed diagnosis/process, discriminator, and reporting answer key is not yet attached.","missing","Pediatric/perinatal faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-pediatric-card-02-edce1a14-3322-4d19-971e-e3ad01ba2425","ap_pediatric-edce1a14-3322-4d19-971e-e3ad01ba2425","Oligohydraminos","Pediatric / Perinatal","Placental and maternal-fetal pathology","PGY1-PGY2","C","15157","Pediatric Pathology Topics for Anatomic Pathology Residents > Perinatal Pathology: Placental-Maternal-Fetal Relationships in Pregnancy > Oligohydraminos","placenta, membranes, cord, products of conception, or related maternal-fetal specimen with gestational age and clinical indication available","gestational-age appropriate placenta, membranes, cord, and villous maturation before abnormal pattern recognition","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","normal maturational change, sampling artifact, post-delivery change, molar mimic, maternal vascular malperfusion, fetal vascular malperfusion, or infection","gestational-age correlation, maternal/fetal risk implication, recurrence or genetic follow-up language, and clinically safe placental diagnosis phrasing","Not complete until taxonomy QA, pediatric/perinatal content, visual anchor, retrieval answer key, and faculty QA metadata are all satisfied.","ready-for-review","Generated from Pediatric / Perinatal AP specification path at source line 15157; faculty must confirm entity/process status and whether this belongs in pediatric, placental, perinatal, or genetics teaching.","missing","Needs source-backed definition, age/gestational-age comparator, morphology, mimic discriminator, clinical consequence, and safety pitfall.","missing","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","missing","Retrieval prompts are scaffolded; faculty-reviewed diagnosis/process, discriminator, and reporting answer key is not yet attached.","missing","Pediatric/perinatal faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-pediatric-card-03-115bd499-d674-43ee-a47e-1ac4231ea7a1","ap_pediatric-115bd499-d674-43ee-a47e-1ac4231ea7a1","Polyhydramnios","Pediatric / Perinatal","Placental and maternal-fetal pathology","PGY1-PGY2","C","15158","Pediatric Pathology Topics for Anatomic Pathology Residents > Perinatal Pathology: Placental-Maternal-Fetal Relationships in Pregnancy > Polyhydramnios","placenta, membranes, cord, products of conception, or related maternal-fetal specimen with gestational age and clinical indication available","gestational-age appropriate placenta, membranes, cord, and villous maturation before abnormal pattern recognition","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","normal maturational change, sampling artifact, post-delivery change, molar mimic, maternal vascular malperfusion, fetal vascular malperfusion, or infection","gestational-age correlation, maternal/fetal risk implication, recurrence or genetic follow-up language, and clinically safe placental diagnosis phrasing","Not complete until taxonomy QA, pediatric/perinatal content, visual anchor, retrieval answer key, and faculty QA metadata are all satisfied.","ready-for-review","Generated from Pediatric / Perinatal AP specification path at source line 15158; faculty must confirm entity/process status and whether this belongs in pediatric, placental, perinatal, or genetics teaching.","missing","Needs source-backed definition, age/gestational-age comparator, morphology, mimic discriminator, clinical consequence, and safety pitfall.","missing","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","missing","Retrieval prompts are scaffolded; faculty-reviewed diagnosis/process, discriminator, and reporting answer key is not yet attached.","missing","Pediatric/perinatal faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-pediatric-card-04-dc2bf925-e9ed-4ee2-9f8e-43382ae95260","ap_pediatric-dc2bf925-e9ed-4ee2-9f8e-43382ae95260","Membranes","Pediatric / Perinatal","Placental and maternal-fetal pathology","PGY1-PGY2","C","15161","Pediatric Pathology Topics for Anatomic Pathology Residents > Perinatal Pathology: Placental-Maternal-Fetal Relationships in Pregnancy > Membranes","placenta, membranes, cord, products of conception, or related maternal-fetal specimen with gestational age and clinical indication available","gestational-age appropriate placenta, membranes, cord, and villous maturation before abnormal pattern recognition","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","normal maturational change, sampling artifact, post-delivery change, molar mimic, maternal vascular malperfusion, fetal vascular malperfusion, or infection","gestational-age correlation, maternal/fetal risk implication, recurrence or genetic follow-up language, and clinically safe placental diagnosis phrasing","Not complete until taxonomy QA, pediatric/perinatal content, visual anchor, retrieval answer key, and faculty QA metadata are all satisfied.","ready-for-review","Generated from Pediatric / Perinatal AP specification path at source line 15161; faculty must confirm entity/process status and whether this belongs in pediatric, placental, perinatal, or genetics teaching.","missing","Needs source-backed definition, age/gestational-age comparator, morphology, mimic discriminator, clinical consequence, and safety pitfall.","missing","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","missing","Retrieval prompts are scaffolded; faculty-reviewed diagnosis/process, discriminator, and reporting answer key is not yet attached.","missing","Pediatric/perinatal faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-pediatric-card-05-d7733cc3-1bd4-46d1-873f-3fe9faaf6464","ap_pediatric-d7733cc3-1bd4-46d1-873f-3fe9faaf6464","Basal Plate","Pediatric / Perinatal","Placental and maternal-fetal pathology","PGY1-PGY2","C","15227","Pediatric Pathology Topics for Anatomic Pathology Residents > Perinatal Pathology: Placental-Maternal-Fetal Relationships in Pregnancy > Basal Plate","placenta, membranes, cord, products of conception, or related maternal-fetal specimen with gestational age and clinical indication available","gestational-age appropriate placenta, membranes, cord, and villous maturation before abnormal pattern recognition","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","normal maturational change, sampling artifact, post-delivery change, molar mimic, maternal vascular malperfusion, fetal vascular malperfusion, or infection","gestational-age correlation, maternal/fetal risk implication, recurrence or genetic follow-up language, and clinically safe placental diagnosis phrasing","Not complete until taxonomy QA, pediatric/perinatal content, visual anchor, retrieval answer key, and faculty QA metadata are all satisfied.","ready-for-review","Generated from Pediatric / Perinatal AP specification path at source line 15227; faculty must confirm entity/process status and whether this belongs in pediatric, placental, perinatal, or genetics teaching.","missing","Needs source-backed definition, age/gestational-age comparator, morphology, mimic discriminator, clinical consequence, and safety pitfall.","missing","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","missing","Retrieval prompts are scaffolded; faculty-reviewed diagnosis/process, discriminator, and reporting answer key is not yet attached.","missing","Pediatric/perinatal faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-pediatric-card-06-035f141c-2ee9-4fda-b8b6-19882e524879","ap_pediatric-035f141c-2ee9-4fda-b8b6-19882e524879","Intragestational Fetal Loss","Pediatric / Perinatal","Placental and maternal-fetal pathology","PGY1-PGY2","C","15355","Pediatric Pathology Topics for Anatomic Pathology Residents > Perinatal Pathology: Placental-Maternal-Fetal Relationships in Pregnancy > Placental Tumors > Intragestational Fetal Loss","placenta, membranes, cord, products of conception, or related maternal-fetal specimen with gestational age and clinical indication available","gestational-age appropriate placenta, membranes, cord, and villous maturation before abnormal pattern recognition","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","normal maturational change, sampling artifact, post-delivery change, molar mimic, maternal vascular malperfusion, fetal vascular malperfusion, or infection","gestational-age correlation, maternal/fetal risk implication, recurrence or genetic follow-up language, and clinically safe placental diagnosis phrasing","Not complete until taxonomy QA, pediatric/perinatal content, visual anchor, retrieval answer key, and faculty QA metadata are all satisfied.","ready-for-review","Generated from Pediatric / Perinatal AP specification path at source line 15355; faculty must confirm entity/process status and whether this belongs in pediatric, placental, perinatal, or genetics teaching.","missing","Needs source-backed definition, age/gestational-age comparator, morphology, mimic discriminator, clinical consequence, and safety pitfall.","missing","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","missing","Retrieval prompts are scaffolded; faculty-reviewed diagnosis/process, discriminator, and reporting answer key is not yet attached.","missing","Pediatric/perinatal faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-pediatric-card-07-b0db1180-dfeb-47b7-92de-f014b241b6c6","ap_pediatric-b0db1180-dfeb-47b7-92de-f014b241b6c6","Complete Hydatidiform Mole","Pediatric / Perinatal","Placental and maternal-fetal pathology","PGY1-PGY2","C","15361","Pediatric Pathology Topics for Anatomic Pathology Residents > Perinatal Pathology: Placental-Maternal-Fetal Relationships in Pregnancy > Placental Tumors > Complete Hydatidiform Mole","placenta, membranes, cord, products of conception, or related maternal-fetal specimen with gestational age and clinical indication available","gestational-age appropriate placenta, membranes, cord, and villous maturation before abnormal pattern recognition","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","normal maturational change, sampling artifact, post-delivery change, molar mimic, maternal vascular malperfusion, fetal vascular malperfusion, or infection","gestational-age correlation, maternal/fetal risk implication, recurrence or genetic follow-up language, and clinically safe placental diagnosis phrasing","Not complete until taxonomy QA, pediatric/perinatal content, visual anchor, retrieval answer key, and faculty QA metadata are all satisfied.","ready-for-review","Generated from Pediatric / Perinatal AP specification path at source line 15361; faculty must confirm entity/process status and whether this belongs in pediatric, placental, perinatal, or genetics teaching.","missing","Needs source-backed definition, age/gestational-age comparator, morphology, mimic discriminator, clinical consequence, and safety pitfall.","missing","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","missing","Retrieval prompts are scaffolded; faculty-reviewed diagnosis/process, discriminator, and reporting answer key is not yet attached.","missing","Pediatric/perinatal faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-pediatric-card-08-f558646f-4ec5-4697-994a-ef02c82a9c73","ap_pediatric-f558646f-4ec5-4697-994a-ef02c82a9c73","Invasive Mole","Pediatric / Perinatal","Placental and maternal-fetal pathology","PGY1-PGY2","C","15362","Pediatric Pathology Topics for Anatomic Pathology Residents > Perinatal Pathology: Placental-Maternal-Fetal Relationships in Pregnancy > Placental Tumors > Complete Hydatidiform Mole > Invasive Mole","placenta, membranes, cord, products of conception, or related maternal-fetal specimen with gestational age and clinical indication available","gestational-age appropriate placenta, membranes, cord, and villous maturation before abnormal pattern recognition","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","normal maturational change, sampling artifact, post-delivery change, molar mimic, maternal vascular malperfusion, fetal vascular malperfusion, or infection","gestational-age correlation, maternal/fetal risk implication, recurrence or genetic follow-up language, and clinically safe placental diagnosis phrasing","Not complete until taxonomy QA, pediatric/perinatal content, visual anchor, retrieval answer key, and faculty QA metadata are all satisfied.","ready-for-review","Generated from Pediatric / Perinatal AP specification path at source line 15362; faculty must confirm entity/process status and whether this belongs in pediatric, placental, perinatal, or genetics teaching.","missing","Needs source-backed definition, age/gestational-age comparator, morphology, mimic discriminator, clinical consequence, and safety pitfall.","missing","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","missing","Retrieval prompts are scaffolded; faculty-reviewed diagnosis/process, discriminator, and reporting answer key is not yet attached.","missing","Pediatric/perinatal faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-pediatric-card-09-628bb1d8-861b-47e7-98a6-e2212b89bcff","ap_pediatric-628bb1d8-861b-47e7-98a6-e2212b89bcff","Hypertension","Pediatric / Perinatal","Placental and maternal-fetal pathology","PGY1-PGY2","C","15365","Pediatric Pathology Topics for Anatomic Pathology Residents > Perinatal Pathology: Placental-Maternal-Fetal Relationships in Pregnancy > Placental Tumors > Hypertension","placenta, membranes, cord, products of conception, or related maternal-fetal specimen with gestational age and clinical indication available","gestational-age appropriate placenta, membranes, cord, and villous maturation before abnormal pattern recognition","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","normal maturational change, sampling artifact, post-delivery change, molar mimic, maternal vascular malperfusion, fetal vascular malperfusion, or infection","gestational-age correlation, maternal/fetal risk implication, recurrence or genetic follow-up language, and clinically safe placental diagnosis phrasing","Not complete until taxonomy QA, pediatric/perinatal content, visual anchor, retrieval answer key, and faculty QA metadata are all satisfied.","ready-for-review","Generated from Pediatric / Perinatal AP specification path at source line 15365; faculty must confirm entity/process status and whether this belongs in pediatric, placental, perinatal, or genetics teaching.","missing","Needs source-backed definition, age/gestational-age comparator, morphology, mimic discriminator, clinical consequence, and safety pitfall.","missing","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","missing","Retrieval prompts are scaffolded; faculty-reviewed diagnosis/process, discriminator, and reporting answer key is not yet attached.","missing","Pediatric/perinatal faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-pediatric-card-10-4ee484f9-211f-41bd-9020-f9af3b634487","ap_pediatric-4ee484f9-211f-41bd-9020-f9af3b634487","Diabetes","Pediatric / Perinatal","Placental and maternal-fetal pathology","PGY1-PGY2","C","15366","Pediatric Pathology Topics for Anatomic Pathology Residents > Perinatal Pathology: Placental-Maternal-Fetal Relationships in Pregnancy > Placental Tumors > Diabetes","placenta, membranes, cord, products of conception, or related maternal-fetal specimen with gestational age and clinical indication available","gestational-age appropriate placenta, membranes, cord, and villous maturation before abnormal pattern recognition","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","normal maturational change, sampling artifact, post-delivery change, molar mimic, maternal vascular malperfusion, fetal vascular malperfusion, or infection","gestational-age correlation, maternal/fetal risk implication, recurrence or genetic follow-up language, and clinically safe placental diagnosis phrasing","Not complete until taxonomy QA, pediatric/perinatal content, visual anchor, retrieval answer key, and faculty QA metadata are all satisfied.","ready-for-review","Generated from Pediatric / Perinatal AP specification path at source line 15366; faculty must confirm entity/process status and whether this belongs in pediatric, placental, perinatal, or genetics teaching.","missing","Needs source-backed definition, age/gestational-age comparator, morphology, mimic discriminator, clinical consequence, and safety pitfall.","missing","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","missing","Retrieval prompts are scaffolded; faculty-reviewed diagnosis/process, discriminator, and reporting answer key is not yet attached.","missing","Pediatric/perinatal faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-pediatric-card-11-45e38801-0adb-49d9-84bd-be16c19fc785","ap_pediatric-45e38801-0adb-49d9-84bd-be16c19fc785","Early (First Trimester)","Pediatric / Perinatal","Placental and maternal-fetal pathology","PGY1-PGY2","C","15424","Pediatric Pathology Topics for Anatomic Pathology Residents > Perinatal Pathology: Placental-Maternal-Fetal Relationships in Pregnancy > Perinatal Pathology: Fetal/Neonatal Pathophysiology > Early (First Trimester)","placenta, membranes, cord, products of conception, or related maternal-fetal specimen with gestational age and clinical indication available","gestational-age appropriate placenta, membranes, cord, and villous maturation before abnormal pattern recognition","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","normal maturational change, sampling artifact, post-delivery change, molar mimic, maternal vascular malperfusion, fetal vascular malperfusion, or infection","gestational-age correlation, maternal/fetal risk implication, recurrence or genetic follow-up language, and clinically safe placental diagnosis phrasing","Not complete until taxonomy QA, pediatric/perinatal content, visual anchor, retrieval answer key, and faculty QA metadata are all satisfied.","ready-for-review","Generated from Pediatric / Perinatal AP specification path at source line 15424; faculty must confirm entity/process status and whether this belongs in pediatric, placental, perinatal, or genetics teaching.","missing","Needs source-backed definition, age/gestational-age comparator, morphology, mimic discriminator, clinical consequence, and safety pitfall.","missing","gross placental orientation or membrane/cord photograph plus low-power villous, basal plate, or membrane histology with gestational-age comparator","missing","Retrieval prompts are scaffolded; faculty-reviewed diagnosis/process, discriminator, and reporting answer key is not yet attached.","missing","Pediatric/perinatal faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
